id,anno,gender,geographical_area,age,edu_qualification,employment_status,age_class,FA1,FA2,FA3,FA,FK1,FK2,FK3,FK4,FK5,FK6,FK7,FK,FB1,FB2,FB3,FB4,FB5,FB6,FB7,FB8,FB,FL,age_score,age_label
30,2017,M,North-west,67.0,3.0,Retired,60-69,5,4,2,3.67,1,1,1,1,1,1,1,7,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,6.0,16.67,3,Anziani
31,2017,F,North-west,62.0,3.0,Retired,60-69,5,5,3,4.33,1,1,1,1,1,1,1,7,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,15.33,3,Anziani
32,2017,M,North-west,41.0,1.0,Employed,40-49,4,2,5,3.67,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,7.67,2,Adulti
33,2017,M,North-west,70.0,4.0,Retired,70+,5,3,3,3.67,1,1,1,1,1,1,1,7,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,13.67,3,Anziani
34,2017,M,North-west,27.0,1.0,Employed,18-29,3,3,3,3.0,0,0,0,0,0,1,1,2,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,5.0,10.0,1,Giovani
35,2017,M,North-west,66.0,1.0,Self-employed,60-69,5,5,5,5.0,1,1,1,0,0,1,0,4,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,13.0,3,Anziani
36,2017,F,North-west,55.0,4.0,Self-employed,50-59,5,2,1,2.67,1,1,1,0,1,1,0,5,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,5.0,12.67,2,Adulti
37,2017,M,North-west,72.0,1.0,Retired,70+,3,2,3,2.67,1,1,1,1,1,1,1,7,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,16.67,3,Anziani
38,2017,F,North-west,41.0,3.0,Homemaker,40-49,2,5,2,3.0,1,1,1,0,0,1,0,4,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0,11.0,2,Adulti
39,2017,M,North-west,65.0,3.0,Retired,60-69,3,2,2,2.33,0,0,0,0,1,1,0,2,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,6.0,10.33,3,Anziani
40,2017,M,North-west,24.0,3.0,Unemployed,18-29,3,2,3,2.67,1,0,0,0,0,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67,1,Giovani
41,2017,M,North-west,64.0,3.0,Retired,60-69,5,2,1,2.67,1,0,0,0,1,1,0,3,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0,10.67,3,Anziani
42,2017,F,North-west,73.0,3.0,Retired,70+,5,5,3,4.33,0,1,0,0,1,1,0,3,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,13.33,3,Anziani
43,2017,F,North-west,62.0,3.0,Self-employed,60-69,3,3,2,2.67,1,1,1,0,1,1,1,6,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,11.67,3,Anziani
44,2017,M,North-west,57.0,4.0,Employed,50-59,5,5,4,4.67,1,0,0,0,1,1,1,4,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,4.0,12.67,2,Adulti
46,2017,M,North-west,39.0,3.0,Employed,30-39,5,4,4,4.33,1,1,0,0,1,1,0,4,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,5.0,13.33,2,Adulti
47,2017,M,North-west,21.0,3.0,Unemployed,18-29,1,2,2,1.67,0,1,0,0,0,1,0,2,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,6.67,1,Giovani
48,2017,M,North-west,30.0,1.0,Employed,30-39,3,2,2,2.33,1,1,0,0,1,1,0,4,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,9.33,1,Giovani
50,2017,F,North-west,78.0,3.0,Retired,70+,2,-97,-99,2.67,0,0,0,0,1,1,1,3,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,8.67,3,Anziani
51,2017,F,North-west,55.0,3.0,Employed,50-59,3,3,3,3.0,0,0,0,0,1,1,0,2,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,5.0,10.0,2,Adulti
52,2017,M,North-west,53.0,3.0,Employed,50-59,3,3,3,3.0,0,1,0,0,1,0,0,2,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,5.0,10.0,2,Adulti
53,2017,F,North-east,75.0,1.0,Retired,70+,3,4,3,3.33,1,1,0,0,1,1,1,5,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,12.33,3,Anziani
54,2017,F,North-east,70.0,4.0,Retired,70+,3,4,3,3.33,1,0,1,0,1,1,0,4,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7.0,14.33,3,Anziani
55,2017,F,North-east,66.0,3.0,Other,60-69,1,4,3,2.67,0,1,0,0,1,1,0,3,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,9.67,3,Anziani
56,2017,M,North-east,47.0,4.0,Self-employed,40-49,4,4,4,4.0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,8.0,2,Adulti
57,2017,F,North-east,73.0,3.0,Self-employed,70+,2,2,2,2.0,0,1,0,0,1,1,0,3,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,5.0,10.0,3,Anziani
58,2017,F,North-east,31.0,1.0,Self-employed,30-39,2,3,2,2.33,1,0,1,0,0,0,0,2,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,5.0,9.33,1,Giovani
59,2017,F,North-east,61.0,3.0,Retired,60-69,3,5,5,4.33,0,0,0,0,1,0,0,1,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0,10.33,3,Anziani
60,2017,F,North-east,79.0,1.0,Self-employed,70+,3,3,2,2.67,0,0,0,0,1,1,1,3,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,9.67,3,Anziani
61,2017,F,North-west,68.0,1.0,Retired,60-69,5,4,4,4.33,1,1,0,0,1,1,1,5,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,4.0,13.33,3,Anziani
62,2017,F,North-west,20.0,4.0,Student,18-29,4,4,3,3.67,0,0,0,0,0,1,0,1,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,5.0,9.67,1,Giovani
63,2017,F,North-west,48.0,4.0,Unemployed,40-49,2,5,4,3.67,0,1,0,0,1,1,0,3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,8.67,2,Adulti
64,2017,F,North-west,22.0,3.0,Unemployed,18-29,2,2,3,2.33,0,1,0,0,0,0,0,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,6.0,9.33,1,Giovani
65,2017,M,North-west,34.0,3.0,Unemployed,30-39,4,4,3,3.67,1,1,1,1,1,1,1,7,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,13.67,1,Giovani
66,2017,F,North-west,74.0,4.0,Retired,70+,5,5,5,5.0,0,0,0,0,1,1,0,2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,10.0,3,Anziani
67,2017,M,North-west,39.0,1.0,Self-employed,30-39,4,3,3,3.33,0,1,1,1,1,0,0,4,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,10.33,2,Adulti
68,2017,F,North-east,29.0,1.0,Employed,18-29,2,1,1,1.33,1,0,0,0,0,0,0,1,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,5.0,7.33,1,Giovani
69,2017,M,North-east,49.0,3.0,Self-employed,40-49,4,1,1,2.0,0,0,1,0,1,1,1,4,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,5.0,11.0,2,Adulti
70,2017,F,North-east,67.0,1.0,Retired,60-69,5,3,-97,3.67,1,1,1,0,1,1,1,6,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,6.0,15.67,3,Anziani
71,2017,M,North-east,72.0,1.0,Retired,70+,4,2,2,2.67,1,1,1,0,1,1,1,6,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,5.0,13.67,3,Anziani
72,2017,F,North-east,69.0,3.0,Retired,60-69,-97,5,5,4.33,0,0,0,0,1,1,0,2,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,5.0,11.33,3,Anziani
73,2017,M,North-east,45.0,4.0,Unemployed,40-49,2,3,3,2.67,0,1,1,0,1,0,1,4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,9.67,2,Adulti
74,2017,F,North-east,69.0,1.0,Retired,60-69,2,3,2,2.33,1,1,0,0,1,1,1,5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,10.33,3,Anziani
75,2017,F,North-east,70.0,4.0,Retired,70+,5,3,3,3.67,0,0,0,0,1,1,0,2,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,6.0,11.67,3,Anziani
76,2017,M,North-east,71.0,3.0,Retired,70+,5,5,1,3.67,1,0,0,0,1,1,1,4,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,6.0,13.67,3,Anziani
77,2017,M,North-east,22.0,4.0,Student,18-29,1,1,1,1.0,0,0,0,0,1,1,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,5.0,1,Giovani
78,2017,M,North-east,66.0,3.0,Other,60-69,4,4,3,3.67,1,1,1,1,1,1,1,7,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,6.0,16.67,3,Anziani
79,2017,F,North-east,43.0,3.0,Employed,40-49,5,2,1,2.67,1,0,0,0,1,1,1,4,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,13.67,2,Adulti
80,2017,F,North-east,69.0,3.0,Self-employed,60-69,5,1,3,3.0,0,0,0,0,1,1,1,3,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,10.0,3,Anziani
81,2017,M,North-east,74.0,3.0,Retired,70+,2,2,2,2.0,1,0,0,0,1,1,0,3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,8.0,3,Anziani
82,2017,M,North-east,23.0,3.0,Student,18-29,2,2,2,2.0,1,0,0,0,1,1,1,4,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,5.0,11.0,1,Giovani
83,2017,F,North-east,71.0,3.0,Retired,70+,2,5,2,3.0,0,1,0,0,1,1,0,3,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,10.0,3,Anziani
84,2017,F,North-east,19.0,4.0,Student,18-29,3,3,3,3.0,0,0,0,0,1,1,0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,7.0,1,Giovani
85,2017,M,North-east,36.0,1.0,Employed,30-39,5,2,3,3.33,1,0,0,0,1,1,0,3,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,6.0,12.33,2,Adulti
86,2017,F,North-east,60.0,4.0,Unemployed,60-69,2,5,5,4.0,1,0,0,0,1,1,0,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,3,Anziani
87,2017,F,North-east,56.0,1.0,Employed,50-59,5,3,3,3.67,0,1,1,1,1,1,0,5,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,12.67,2,Adulti
88,2017,F,Centre,49.0,1.0,Unemployed,40-49,4,5,5,4.67,0,1,0,0,1,1,0,3,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0,12.67,2,Adulti
89,2017,F,Centre,44.0,1.0,Employed,40-49,3,4,2,3.0,1,0,1,1,1,1,1,6,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,5.0,14.0,2,Adulti
90,2017,F,Centre,48.0,3.0,Unemployed,40-49,3,4,4,3.67,1,1,1,0,1,1,0,5,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,11.67,2,Adulti
91,2017,F,Centre,81.0,3.0,Retired,70+,3,3,3,3.0,0,1,1,1,1,0,0,4,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,5.0,12.0,3,Anziani
92,2017,F,Centre,41.0,1.0,Employed,40-49,5,2,3,3.33,1,0,0,0,1,1,1,4,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0,11.33,2,Adulti
93,2017,F,Centre,72.0,3.0,Retired,70+,5,4,3,4.0,1,1,1,1,1,0,1,6,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,6.0,16.0,3,Anziani
94,2017,F,Centre,61.0,3.0,Retired,60-69,3,3,3,3.0,1,0,0,0,1,1,1,4,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,10.0,3,Anziani
95,2017,M,Centre,71.0,1.0,Retired,70+,1,3,1,1.67,0,0,0,0,1,1,0,2,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,6.67,3,Anziani
96,2017,M,Centre,62.0,3.0,Self-employed,60-69,3,3,3,3.0,1,1,0,0,0,1,0,3,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,9.0,3,Anziani
98,2017,F,Centre,72.0,4.0,Self-employed,70+,2,2,3,2.33,1,1,1,0,1,1,1,6,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,12.33,3,Anziani
99,2017,F,Centre,52.0,1.0,Self-employed,50-59,3,2,3,2.67,1,1,1,1,1,1,1,7,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,13.67,2,Adulti
100,2017,M,Centre,77.0,1.0,Retired,70+,5,5,5,5.0,0,0,0,0,1,1,1,3,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,15.0,3,Anziani
101,2017,F,Centre,89.0,5.0,Retired,70+,4,2,2,2.67,1,0,0,0,0,0,0,1,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,7.67,3,Anziani
102,2017,M,Centre,65.0,4.0,Retired,60-69,4,4,3,3.67,1,1,1,1,1,1,1,7,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,14.67,3,Anziani
103,2017,F,Centre,67.0,4.0,Employed,60-69,2,3,3,2.67,1,1,1,1,1,1,1,7,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,5.0,14.67,3,Anziani
104,2017,M,Centre,63.0,4.0,Retired,60-69,4,5,3,4.0,0,1,0,0,1,1,0,3,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,10.0,3,Anziani
105,2017,M,Centre,38.0,3.0,Employed,30-39,3,3,2,2.67,1,0,0,0,1,1,0,3,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,6.0,11.67,2,Adulti
107,2017,M,Centre,87.0,1.0,Retired,70+,-99,3,3,3.0,1,0,0,0,1,1,1,4,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,11.0,3,Anziani
108,2017,M,Centre,41.0,1.0,Self-employed,40-49,2,3,3,2.67,1,0,0,0,0,1,0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,6.67,2,Adulti
109,2017,M,Centre,39.0,1.0,Employed,30-39,2,2,2,2.0,1,1,1,0,1,0,1,5,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0,12.0,2,Adulti
110,2017,M,Centre,56.0,4.0,Employed,50-59,3,4,2,3.0,1,0,0,0,1,1,1,4,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,9.0,2,Adulti
111,2017,F,Centre,67.0,3.0,Self-employed,60-69,5,5,3,4.33,1,1,1,0,1,1,1,6,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,5.0,15.33,3,Anziani
112,2017,F,Centre,75.0,6.0,Retired,70+,3,3,3,3.0,0,1,1,1,1,1,0,5,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,5.0,13.0,3,Anziani
113,2017,M,Centre,60.0,3.0,Retired,60-69,1,4,3,2.67,0,1,1,0,1,1,0,4,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0,11.67,3,Anziani
114,2017,M,Centre,34.0,3.0,Employed,30-39,4,4,3,3.67,1,1,0,0,1,1,0,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,9.67,1,Giovani
115,2017,F,South,57.0,3.0,Self-employed,50-59,5,5,1,3.67,1,1,1,1,1,1,1,7,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,17.67,2,Adulti
116,2017,F,South,51.0,4.0,Homemaker,50-59,3,5,3,3.67,1,1,0,0,1,1,0,4,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,6.0,13.67,2,Adulti
117,2017,F,South,49.0,3.0,Employed,40-49,4,3,3,3.33,0,1,1,1,1,1,0,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,10.33,2,Adulti
118,2017,M,South,73.0,4.0,Retired,70+,3,4,3,3.33,1,1,0,0,1,1,0,4,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,10.33,3,Anziani
119,2017,M,South,53.0,4.0,Employed,50-59,3,3,2,2.67,1,1,1,1,1,1,0,6,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,5.0,13.67,2,Adulti
120,2017,M,South,56.0,1.0,Self-employed,50-59,4,3,-99,3.33,1,1,1,0,1,0,0,4,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,10.33,2,Adulti
121,2017,F,South,63.0,3.0,Other,60-69,3,3,3,3.0,1,1,1,0,1,1,1,6,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,12.0,3,Anziani
122,2017,M,South,21.0,4.0,Student,18-29,1,-99,5,3.0,0,0,0,0,1,0,0,1,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0,9.0,1,Giovani
123,2017,F,South,57.0,1.0,Employed,50-59,5,3,3,3.67,0,0,0,0,0,1,0,1,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,4.0,8.67,2,Adulti
124,2017,M,South,60.0,3.0,Retired,60-69,2,3,3,2.67,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,6.0,8.67,3,Anziani
125,2017,M,South,39.0,1.0,Employed,30-39,5,5,3,4.33,1,1,1,0,1,0,0,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,16.33,2,Adulti
126,2017,M,South,66.0,3.0,Retired,60-69,5,5,3,4.33,1,0,0,0,1,0,0,2,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,5.0,11.33,3,Anziani
127,2017,F,South,76.0,3.0,Self-employed,70+,1,1,-97,1.67,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,3.67,3,Anziani
128,2017,M,South,28.0,1.0,Unemployed,18-29,3,2,1,2.0,0,1,1,1,1,1,0,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,9.0,1,Giovani
129,2017,M,South,87.0,1.0,Retired,70+,5,4,3,4.0,1,1,1,1,1,1,1,7,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,6.0,17.0,3,Anziani
130,2017,F,South,47.0,3.0,Self-employed,40-49,4,5,3,4.0,1,0,1,1,1,1,1,6,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,14.0,2,Adulti
131,2017,F,South,25.0,3.0,Student,18-29,1,1,2,1.33,0,1,1,0,1,1,1,5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,9.33,1,Giovani
132,2017,F,South,51.0,1.0,Self-employed,50-59,3,3,1,2.33,1,1,0,0,1,1,0,4,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,5.0,11.33,2,Adulti
133,2017,M,South,47.0,3.0,Employed,40-49,4,5,4,4.33,1,1,1,1,1,1,1,7,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,9.0,20.33,2,Adulti
134,2017,F,South,55.0,3.0,Unemployed,50-59,3,5,5,4.33,1,1,0,0,1,1,1,5,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,6.0,15.33,2,Adulti
135,2017,M,South,59.0,3.0,Employed,50-59,1,2,3,2.0,1,1,1,0,1,1,1,6,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,10.0,2,Adulti
136,2017,M,South,74.0,5.0,Retired,70+,4,5,3,4.0,1,1,1,1,1,1,1,7,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,14.0,3,Anziani
137,2017,F,South,40.0,3.0,Employed,40-49,1,5,3,3.0,1,1,1,1,1,1,1,7,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,6.0,16.0,2,Adulti
138,2017,M,South,67.0,4.0,Retired,60-69,2,4,2,2.67,1,1,1,0,1,0,0,4,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0,11.67,3,Anziani
139,2017,F,South,20.0,1.0,Student,18-29,2,4,4,3.33,1,0,1,0,0,0,1,3,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,10.33,1,Giovani
140,2017,F,South,59.0,3.0,Other,50-59,5,4,2,3.67,0,1,0,0,1,1,1,4,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,10.67,2,Adulti
142,2017,F,South,56.0,1.0,Self-employed,50-59,2,3,3,2.67,1,1,1,1,1,1,1,7,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,11.67,2,Adulti
143,2017,M,South,84.0,5.0,Retired,70+,4,5,4,4.33,0,0,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.33,3,Anziani
144,2017,F,South,80.0,4.0,Retired,70+,3,2,3,2.67,0,0,0,0,1,1,0,2,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,8.67,3,Anziani
145,2017,F,South,33.0,1.0,Self-employed,30-39,1,1,1,1.0,0,0,0,0,1,1,0,2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,6.0,1,Giovani
146,2017,M,Islands,20.0,4.0,Student,18-29,4,3,2,3.0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,1,Giovani
147,2017,M,Islands,53.0,3.0,Employed,50-59,3,3,3,3.0,1,1,1,1,1,1,1,7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,11.0,2,Adulti
