id;gender;geographical_area;edu_qualification;employment_status;age_score;age_label;FA1;FA2;FA3;FA;FK1;FK2;FK3;FK4;FK5;FK6;FK7;FK;FB1;FB2;FB3;FB4;FB5;FB6;FB7;FB8;FB
68;F;North-east;10;Employed;1;Giovani;2;1;1;1,33;1;0;0;0;0;0;0;1;0;1;1;1;1;0;0;1;5
69;M;North-east;30;Self-employed;2;Adulti;4;1;1;2;0;0;1;0;1;1;1;4;0;1;1;1;0;1;0;1;5
70;F;North-east;10;Retired;3;Anziani;5;3;3;3,67;1;1;1;0;1;1;1;6;0;1;1;1;0;1;1;1;6
71;M;North-east;10;Retired;3;Anziani;4;2;2;2,67;1;1;1;0;1;1;1;6;0;1;0;1;1;1;0;1;5
72;F;North-east;30;Retired;3;Anziani;3;5;5;4,33;0;0;0;0;1;1;0;2;0;0;1;1;1;0;1;1;5
73;M;North-east;40;Unemployed;2;Adulti;2;3;3;2,67;0;1;1;0;1;0;1;4;0;1;1;0;0;0;0;1;3
74;F;North-east;10;Retired;3;Anziani;2;3;2;2,33;1;1;0;0;1;1;1;5;0;0;1;1;0;0;0;1;3
75;F;North-east;40;Retired;3;Anziani;5;3;3;3,67;0;0;0;0;1;1;0;2;1;1;1;1;1;0;0;1;6
76;M;North-east;30;Retired;3;Anziani;5;5;1;3,67;1;0;0;0;1;1;1;4;1;0;1;1;1;1;0;1;6
77;M;North-east;40;Student;1;Giovani;1;1;1;1;0;0;0;0;1;1;0;2;0;0;0;1;0;0;0;1;2
78;M;North-east;30;Other;3;Anziani;4;4;3;3,67;1;1;1;1;1;1;1;7;0;1;1;1;1;1;0;1;6
79;F;North-east;30;Employed;2;Adulti;5;2;1;2,67;1;0;0;0;1;1;1;4;0;1;1;1;1;1;1;1;7
80;F;North-east;30;Self-employed;3;Anziani;5;1;3;3;0;0;0;0;1;1;1;3;0;0;1;1;1;0;0;1;4
81;M;North-east;30;Retired;3;Anziani;2;2;2;2;1;0;0;0;1;1;0;3;0;0;0;0;1;1;0;1;3
82;M;North-east;30;Student;1;Giovani;2;2;2;2;1;0;0;0;1;1;1;4;0;1;1;1;0;0;1;1;5
83;F;North-east;30;Retired;3;Anziani;2;5;2;3;0;1;0;0;1;1;0;3;0;0;1;1;1;0;0;1;4
84;F;North-east;40;Student;1;Giovani;3;3;3;3;0;0;0;0;1;1;0;2;0;0;0;0;1;0;0;1;2
85;M;North-east;10;Employed;2;Adulti;5;2;3;3,33;1;0;0;0;1;1;0;3;0;1;1;1;1;0;1;1;6
86;F;North-east;40;Unemployed;3;Anziani;2;5;5;4;1;0;0;0;1;1;0;3;0;0;1;0;0;0;0;0;1
87;F;North-east;10;Employed;2;Adulti;5;3;3;3,67;0;1;1;1;1;1;0;5;0;1;0;1;0;0;1;1;4
88;F;Centre;10;Unemployed;2;Adulti;4;5;5;4,67;0;1;0;0;1;1;0;3;0;0;1;1;1;1;0;1;5
89;F;Centre;10;Employed;2;Adulti;3;4;2;3;1;0;1;1;1;1;1;6;0;1;1;1;1;0;0;1;5
90;F;Centre;30;Unemployed;2;Adulti;3;4;4;3,67;1;1;1;0;1;1;0;5;1;0;1;0;0;1;0;0;3
91;F;Centre;30;Retired;3;Anziani;3;3;3;3;0;1;1;1;1;0;0;4;1;0;1;1;1;0;0;1;5
92;F;Centre;10;Employed;2;Adulti;5;2;3;3,33;1;0;0;0;1;1;1;4;0;1;0;1;1;0;0;1;4
93;F;Centre;30;Retired;3;Anziani;5;4;3;4;1;1;1;1;1;0;1;6;0;1;1;1;1;0;1;1;6
94;F;Centre;30;Retired;3;Anziani;3;3;3;3;1;0;0;0;1;1;1;4;0;1;1;1;0;0;0;0;3
95;M;Centre;10;Retired;3;Anziani;1;3;1;1,67;0;0;0;0;1;1;0;2;0;0;1;1;1;0;0;0;3
96;M;Centre;30;Self-employed;3;Anziani;3;3;3;3;1;1;0;0;0;1;0;3;0;0;1;1;0;0;0;1;3
98;F;Centre;40;Self-employed;3;Anziani;2;2;3;2,33;1;1;1;0;1;1;1;6;0;1;1;1;1;0;0;0;4
99;F;Centre;10;Self-employed;2;Adulti;3;2;3;2,67;1;1;1;1;1;1;1;7;0;0;1;1;1;0;0;1;4
100;M;Centre;10;Retired;3;Anziani;5;5;5;5;0;0;0;0;1;1;1;3;0;1;1;1;1;1;1;1;7
101;F;Centre;50;Retired;3;Anziani;4;2;2;2,67;1;0;0;0;0;0;0;1;0;1;0;0;0;1;1;1;4
102;M;Centre;40;Retired;3;Anziani;4;4;3;3,67;1;1;1;1;1;1;1;7;0;1;1;1;0;0;0;1;4
103;F;Centre;40;Employed;3;Anziani;2;3;3;2,67;1;1;1;1;1;1;1;7;0;1;1;1;1;0;0;1;5
104;M;Centre;40;Retired;3;Anziani;4;5;3;4;0;1;0;0;1;1;0;3;0;0;1;1;0;0;0;1;3
105;M;Centre;30;Employed;2;Adulti;3;3;2;2,67;1;0;0;0;1;1;0;3;0;1;1;1;1;1;0;1;6
107;M;Centre;10;Retired;3;Anziani;3;3;3;3;1;0;0;0;1;1;1;4;0;0;1;1;1;0;0;1;4
108;M;Centre;10;Self-employed;2;Adulti;2;3;3;2,67;1;0;0;0;0;1;0;2;0;0;0;0;1;0;0;1;2
109;M;Centre;10;Employed;2;Adulti;2;2;2;2;1;1;1;0;1;0;1;5;1;1;1;0;0;0;1;1;5
110;M;Centre;40;Employed;2;Adulti;3;4;2;3;1;0;0;0;1;1;1;4;0;0;0;1;1;0;0;0;2
111;F;Centre;30;Self-employed;3;Anziani;5;5;3;4,33;1;1;1;0;1;1;1;6;0;1;1;1;1;0;0;1;5
112;F;Centre;60;Retired;3;Anziani;3;3;3;3;0;1;1;1;1;1;0;5;0;1;1;1;0;0;1;1;5
113;M;Centre;30;Retired;3;Anziani;1;4;3;2,67;0;1;1;0;1;1;0;4;0;0;1;1;1;1;0;1;5
114;M;Centre;30;Employed;1;Giovani;4;4;3;3,67;1;1;0;0;1;1;0;4;0;0;1;0;0;0;0;1;2
115;F;South;30;Self-employed;2;Adulti;5;5;1;3,67;1;1;1;1;1;1;1;7;0;1;1;1;1;1;1;1;7
116;F;South;40;Homemaker;2;Adulti;3;5;3;3,67;1;1;0;0;1;1;0;4;1;0;1;1;1;1;0;1;6
117;F;South;30;Employed;2;Adulti;4;3;3;3,33;0;1;1;1;1;1;0;5;0;0;0;0;0;1;0;1;2
118;M;South;40;Retired;3;Anziani;3;4;3;3,33;1;1;0;0;1;1;0;4;0;0;1;1;0;0;0;1;3
119;M;South;40;Employed;2;Adulti;3;3;2;2,67;1;1;1;1;1;1;0;6;1;0;1;1;1;0;1;0;5
120;M;South;10;Self-employed;2;Adulti;4;3;3;3,33;1;1;1;0;1;0;0;4;0;0;1;0;1;0;0;1;3
121;F;South;30;Other;3;Anziani;3;3;3;3;1;1;1;0;1;1;1;6;0;0;1;1;1;0;0;0;3
122;M;South;40;Student;1;Giovani;1;3;5;3;0;0;0;0;1;0;0;1;0;0;1;1;1;1;0;1;5
123;F;South;10;Employed;2;Adulti;5;3;3;3,67;0;0;0;0;0;1;0;1;0;0;1;1;0;1;0;1;4
124;M;South;30;Retired;3;Anziani;2;3;3;2,67;0;0;0;0;0;0;0;0;1;1;1;1;0;0;1;1;6
125;M;South;10;Employed;2;Adulti;5;5;3;4,33;1;1;1;0;1;0;0;4;1;1;1;1;1;1;1;1;8
126;M;South;30;Retired;3;Anziani;5;5;3;4,33;1;0;0;0;1;0;0;2;1;0;1;1;1;0;0;1;5
127;F;South;30;Self-employed;3;Anziani;1;1;3;1,67;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2
128;M;South;10;Unemployed;1;Giovani;3;2;1;2;0;1;1;1;1;1;0;5;0;0;1;0;0;0;0;1;2
129;M;South;10;Retired;3;Anziani;5;4;3;4;1;1;1;1;1;1;1;7;0;1;1;1;0;1;1;1;6
130;F;South;30;Self-employed;2;Adulti;4;5;3;4;1;0;1;1;1;1;1;6;0;0;1;1;1;0;0;1;4
131;F;South;30;Student;1;Giovani;1;1;2;1,33;0;1;1;0;1;1;1;5;0;0;1;0;1;0;0;1;3
132;F;South;10;Self-employed;2;Adulti;3;3;1;2,33;1;1;0;0;1;1;0;4;1;0;1;1;0;1;0;1;5
133;M;South;30;Employed;2;Adulti;4;5;4;4,33;1;1;1;1;1;1;1;7;1;1;1;1;1;1;2;1;9
134;F;South;30;Unemployed;2;Adulti;3;5;5;4,33;1;1;0;0;1;1;1;5;0;1;1;1;1;0;1;1;6
135;M;South;30;Employed;2;Adulti;1;2;3;2;1;1;1;0;1;1;1;6;0;0;1;0;1;0;0;0;2
136;M;South;50;Retired;3;Anziani;4;5;3;4;1;1;1;1;1;1;1;7;0;0;1;1;0;0;0;1;3
137;F;South;30;Employed;2;Adulti;1;5;3;3;1;1;1;1;1;1;1;7;0;1;1;1;1;0;1;1;6
138;M;South;40;Retired;3;Anziani;2;4;2;2,67;1;1;1;0;1;0;0;4;0;0;1;1;1;1;0;1;5
139;F;South;10;Student;1;Giovani;2;4;4;3,33;1;0;1;0;0;0;1;3;0;1;1;1;0;0;0;1;4
140;F;South;30;Other;2;Adulti;5;4;2;3,67;0;1;0;0;1;1;1;4;0;1;0;1;1;0;0;0;3
142;F;South;10;Self-employed;2;Adulti;2;3;3;2,67;1;1;1;1;1;1;1;7;0;0;1;1;0;0;0;0;2
143;M;South;50;Retired;3;Anziani;4;5;4;4,33;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1
144;F;South;40;Retired;3;Anziani;3;2;3;2,67;0;0;0;0;1;1;0;2;0;1;0;0;1;0;1;1;4
145;F;South;10;Self-employed;1;Giovani;1;1;1;1;0;0;0;0;1;1;0;2;0;0;1;1;0;0;0;1;3
146;M;Islands;40;Student;1;Giovani;4;3;2;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2
147;M;Islands;30;Employed;2;Adulti;3;3;3;3;1;1;1;1;1;1;1;7;0;0;0;1;0;0;0;0;1
148;M;Islands;40;Retired;3;Anziani;1;5;5;3,67;1;0;0;0;1;1;0;3;0;0;1;1;1;0;0;0;3
150;M;Islands;10;Student;1;Giovani;1;2;3;2;1;1;1;1;1;1;1;7;0;0;1;0;0;0;0;1;2
151;M;Islands;30;Retired;3;Anziani;3;3;1;2,33;1;1;1;1;1;1;1;7;0;0;0;0;0;0;0;0;0
152;M;Islands;30;Unemployed;3;Anziani;3;4;2;3;1;0;1;1;1;1;1;6;0;0;1;1;1;0;0;1;4
153;F;Islands;10;Employed;1;Giovani;3;4;3;3,33;0;0;0;0;1;1;0;2;0;0;1;1;1;1;1;0;5
154;M;Islands;10;Employed;1;Giovani;2;2;2;2;1;1;1;0;1;1;0;5;0;1;1;1;0;0;1;1;5
155;F;Islands;10;Employed;2;Adulti;2;3;1;2;1;0;0;0;0;1;0;2;0;0;0;1;1;1;0;1;4
156;F;Islands;10;Homemaker;2;Adulti;5;5;3;4,33;0;0;0;0;1;1;0;2;0;1;1;1;1;0;1;0;5
157;F;Islands;10;Employed;2;Adulti;3;4;3;3,33;0;1;0;0;1;1;0;3;0;1;1;1;0;0;1;1;5
158;F;Islands;30;Self-employed;1;Giovani;3;4;3;3,33;0;1;0;0;1;1;0;3;0;0;1;1;1;0;0;1;4
159;F;Islands;40;Employed;2;Adulti;5;5;4;4,67;0;0;0;0;1;1;0;2;0;1;1;1;1;1;1;1;7
160;M;Islands;40;Student;1;Giovani;1;3;2;2;0;1;1;0;1;1;1;5;0;0;1;0;0;0;0;1;2
163;M;Islands;10;Retired;3;Anziani;4;4;4;4;1;1;1;1;1;1;1;7;1;1;1;1;1;0;0;1;6
164;F;North-west;10;Retired;3;Anziani;2;5;5;4;1;1;1;1;1;0;0;5;0;0;1;1;1;1;0;1;5
165;F;North-west;10;Student;1;Giovani;4;4;4;4;1;1;1;0;0;1;0;4;0;0;1;0;0;1;1;1;4
166;M;North-west;30;Retired;3;Anziani;2;3;3;2,67;1;0;1;0;1;1;1;5;0;0;1;1;1;0;0;1;4
167;F;North-west;30;Employed;2;Adulti;5;5;3;4,33;0;1;1;1;1;1;1;6;0;1;1;1;0;0;0;1;4
168;M;North-west;40;Self-employed;2;Adulti;4;4;3;3,67;1;1;1;1;1;1;1;7;0;0;1;1;0;1;0;1;4
169;F;North-west;50;Retired;3;Anziani;1;5;1;2,33;0;0;0;0;1;1;1;3;0;1;1;1;1;0;1;1;6
170;F;North-west;30;Homemaker;3;Anziani;4;4;3;3,67;1;1;1;0;1;1;1;6;0;0;1;1;0;0;1;1;4
171;F;North-west;40;Retired;3;Anziani;3;4;3;3,33;1;1;1;1;1;1;1;7;0;1;0;1;0;0;0;1;3
172;M;North-west;50;Retired;3;Anziani;4;4;3;3,67;1;0;0;0;1;1;0;3;0;1;1;1;0;0;0;1;4
173;F;North-west;30;Homemaker;2;Adulti;2;4;4;3,33;0;0;0;0;1;0;0;1;0;1;1;1;0;0;0;1;4
174;F;North-west;30;Employed;2;Adulti;5;5;4;4,67;0;0;0;0;1;1;1;3;0;1;1;1;1;1;1;1;7
175;M;North-west;40;Student;1;Giovani;2;3;3;2,67;1;1;1;1;1;1;1;7;0;0;1;1;1;0;1;1;5
176;M;North-west;40;Student;1;Giovani;3;3;3;3;1;0;0;0;1;1;1;4;0;0;1;0;0;0;0;1;2
177;M;North-west;40;Retired;3;Anziani;1;1;1;1;0;0;1;1;1;1;1;5;0;0;0;0;0;0;0;1;1
178;M;North-west;40;Student;1;Giovani;5;5;3;4,33;0;1;0;0;1;1;1;4;0;0;1;1;1;1;0;1;5
180;M;North-west;30;Unemployed;2;Adulti;5;5;3;4,33;1;1;0;0;1;1;1;5;0;0;1;0;1;1;0;0;3
181;M;North-west;40;Retired;3;Anziani;4;4;3;3,67;1;0;0;0;0;1;0;2;0;0;0;1;1;1;0;1;4
182;M;North-west;40;Employed;2;Adulti;2;2;3;2,33;1;1;1;0;1;1;1;6;0;1;1;1;1;0;1;1;6
183;M;North-west;30;Employed;1;Giovani;4;4;2;3,33;0;1;0;0;1;1;0;3;1;1;1;0;0;0;0;1;4
184;M;North-west;10;Employed;3;Anziani;4;3;4;3,67;1;1;1;1;1;1;1;7;0;1;1;1;1;0;1;1;6
185;F;North-west;30;Retired;3;Anziani;2;3;1;2;1;0;0;0;1;1;1;4;0;1;1;1;0;0;0;1;4
186;M;North-west;10;Self-employed;2;Adulti;1;5;4;3,33;1;1;1;0;1;1;1;6;1;0;1;1;1;0;0;1;5
187;M;North-west;10;Self-employed;3;Anziani;5;5;4;4,67;1;1;1;0;1;1;0;5;0;0;1;1;1;0;0;1;4
188;F;North-west;10;Unemployed;1;Giovani;5;4;3;4;1;0;0;0;1;1;1;4;0;1;1;1;1;0;0;1;5
189;M;North-west;10;Retired;3;Anziani;5;5;3;4,33;0;0;0;0;1;1;1;3;0;1;1;1;1;0;1;1;6
190;M;North-west;30;Retired;3;Anziani;5;5;3;4,33;1;1;0;0;1;0;0;3;0;1;0;1;0;1;1;1;5
191;M;North-west;30;Retired;3;Anziani;5;3;4;4;1;1;1;1;1;1;1;7;0;1;1;1;0;0;0;1;4
192;M;North-west;30;Employed;1;Giovani;3;3;2;2,67;1;1;0;0;0;0;0;2;0;0;1;1;1;1;0;1;5
193;M;North-east;10;Retired;3;Anziani;4;4;4;4;1;0;0;0;1;1;1;4;0;1;1;1;1;0;1;1;6
194;M;North-east;30;Employed;2;Adulti;5;5;5;5;1;0;1;1;1;1;1;6;0;1;1;1;1;0;1;1;6
195;F;North-east;50;Homemaker;3;Anziani;3;3;3;3;1;1;1;1;1;1;1;7;0;1;0;1;0;0;1;1;4
196;M;North-east;30;Employed;1;Giovani;4;4;4;4;1;1;1;1;1;1;1;7;0;1;1;1;1;0;1;1;6
197;M;North-east;40;Retired;3;Anziani;5;2;4;3,67;1;1;1;1;1;1;1;7;0;1;1;1;1;0;1;1;6
199;F;North-west;30;Employed;2;Adulti;4;2;3;3;1;1;1;1;1;1;1;7;0;1;1;1;1;0;0;1;5
200;F;North-west;30;Retired;3;Anziani;3;5;3;3,67;1;0;1;0;1;1;1;5;0;1;1;1;1;0;0;1;5
201;F;North-east;10;Employed;1;Giovani;2;4;2;2,67;1;1;1;0;1;1;0;5;0;1;1;1;0;0;0;0;3
202;M;North-east;30;Retired;3;Anziani;5;4;3;4;1;1;1;0;1;1;1;6;0;0;1;1;1;0;1;1;5
203;F;North-east;50;Retired;3;Anziani;3;5;5;4,33;1;1;1;0;1;1;1;6;0;0;1;1;1;0;0;0;3
204;F;North-east;10;Unemployed;2;Adulti;3;3;2;2,67;1;1;1;0;1;1;1;6;0;0;0;0;0;0;0;0;0
205;F;North-east;40;Retired;3;Anziani;5;3;5;4,33;1;0;1;1;1;1;1;6;1;1;1;1;1;0;1;1;7
206;F;North-east;30;Employed;2;Adulti;3;3;3;3;1;1;1;0;1;1;0;5;0;0;1;1;1;0;0;0;3
207;M;North-east;10;Self-employed;3;Anziani;1;3;3;2,33;1;0;0;0;1;1;1;4;0;1;1;1;1;1;0;1;6
208;M;North-east;40;Retired;3;Anziani;3;3;3;3;0;1;0;0;0;0;0;1;0;0;1;1;1;0;0;1;4
210;F;North-east;30;Employed;2;Adulti;2;3;1;2;0;1;0;0;1;1;1;4;0;0;1;1;0;1;0;1;4
212;M;North-east;30;Retired;3;Anziani;5;5;3;4,33;1;1;1;1;1;1;1;7;0;0;0;1;1;0;1;1;4
213;F;North-east;30;Employed;2;Adulti;3;3;2;2,67;0;0;0;0;1;1;0;2;1;0;1;1;1;0;1;1;6
214;M;North-east;50;Employed;2;Adulti;4;3;1;2,67;1;0;0;0;0;0;0;1;1;0;1;1;1;1;0;1;6
215;M;North-east;40;Retired;3;Anziani;3;3;5;3,67;0;0;0;0;1;1;1;3;0;0;1;1;0;0;0;0;2
216;M;North-east;40;Employed;2;Adulti;4;4;4;4;0;1;1;1;1;1;0;5;0;1;1;1;0;0;0;1;4
217;M;North-east;30;Unemployed;3;Anziani;2;3;3;2,67;1;1;1;1;1;1;1;7;0;0;1;1;1;0;0;1;4
218;M;Centre;10;Self-employed;2;Adulti;1;3;3;2,33;1;1;1;1;1;1;1;7;0;0;1;1;1;0;1;0;4
219;F;Centre;40;Employed;2;Adulti;3;4;4;3,67;0;0;0;0;1;0;0;1;0;1;1;1;0;0;0;1;4
220;M;Centre;40;Retired;3;Anziani;3;1;1;1,67;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;1;5
221;F;Centre;40;Student;1;Giovani;3;4;3;3,33;0;0;0;0;1;1;0;2;0;0;1;1;1;0;2;1;6
223;F;Centre;10;Student;1;Giovani;3;5;4;4;0;0;0;0;1;1;1;3;0;0;0;0;1;0;1;0;2
224;M;Centre;30;Employed;2;Adulti;3;3;1;2,33;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;6
225;M;Centre;50;Retired;3;Anziani;3;3;3;3;1;1;1;1;1;1;0;6;0;1;1;1;1;0;0;1;5
226;M;Centre;10;Unemployed;3;Anziani;4;5;3;4;0;0;0;0;1;1;1;3;1;0;0;1;1;0;0;1;4
227;M;Centre;30;Self-employed;2;Adulti;4;3;1;2,67;1;1;0;0;0;1;0;3;0;1;1;1;1;1;0;1;6
228;F;Centre;30;Employed;2;Adulti;3;2;1;2;0;1;0;0;1;1;0;3;0;0;1;1;0;0;0;1;3
230;F;Centre;40;Student;1;Giovani;4;2;2;2,67;1;1;1;1;1;1;0;6;0;1;1;0;0;0;1;1;4
231;M;Centre;10;Student;1;Giovani;1;1;5;2,33;0;0;0;0;1;1;1;3;1;1;1;1;1;1;1;1;8
232;F;Centre;40;Homemaker;2;Adulti;5;4;2;3,67;1;1;1;0;1;1;1;6;0;0;1;1;1;1;0;1;5
